"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[르노(삼성)] SM3 뉴제네레이션 1.6 CE 플러스",2152,55어2627,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801097%2FA250801097_02_03.jpg%3F20250809094838&type=m&w=800&h=500&quality=90&ttype=jpg,89435,130,"[르노(삼성)] SM3 뉴제네레이션 1.6 CE 플러스",A/T,2010,"현대 경매장",KNMC4C2HMAP120428,"C / 1"
"[기아] K7 프레스티지 3.0 GDI 노블레스",2153,38조5245,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800411%2FA250800411_02_03.jpg%3F20250812133811&type=m&w=800&h=500&quality=90&ttype=jpg,115825,550,"[기아] K7 프레스티지 3.0 GDI 노블레스",A/T,2012,"현대 경매장",KNALN416BCA075881,"A / 3"
"[현대] 더 뉴아반떼MD 1.6 GDi 스마트",2154,46우3331,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801090%2FA250801090_02_03.jpg%3F20250813082738&type=m&w=800&h=500&quality=90&ttype=jpg,78125,425,"[현대] 더 뉴아반떼MD 1.6 GDi 스마트",A/T,2014,"현대 경매장",KMHDG41DBEU087627,"A / 1"
"[현대] YF쏘나타 Y20 프라임 고급형",2155,13노9979,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800628%2FA250800628_02_03.jpg%3F20250812144711&type=m&w=800&h=500&quality=90&ttype=jpg,109056,260,"[현대] YF쏘나타 Y20 프라임 고급형",A/T,2010,"현대 경매장",KMHEC41BBAA151226,"A / 1"
"[현대] 그랜저HG HG 300 노블",2156,19거4258,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800780%2FA250800780_02_03.jpg%3F20250811125541&type=m&w=800&h=500&quality=90&ttype=jpg,182115,300,"[현대] 그랜저HG HG 300 노블",A/T,2011,"현대 경매장",KMHFG41EBBA068337,"A / 1"
"[현대] YF쏘나타 LPI 렌터카 프리미어",2157,31저9779,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800835%2FA250800835_02_03.jpg%3F20250811153936&type=m&w=800&h=500&quality=90&ttype=jpg,199155,105,"[현대] YF쏘나타 LPI 렌터카 프리미어",A/T,2010,"현대 경매장",KMHEC41MBAA008758,"A / 1"
"[현대] 아반떼 하이브리드 HDeIII",2158,37나5774,,하이브리드,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801252%2FA250801252_02_03.jpg%3F20250812134958&type=m&w=800&h=500&quality=90&ttype=jpg,150829,140,"[현대] 아반떼 하이브리드 HDeIII",A/T,2010,"현대 경매장",KMHDU413EAU001705,"A / 1"
"[기아] 올 뉴K7 하이브리드 노블레스",2137,03어8007,,하이브리드,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801092%2FA250801092_02_03.jpg%3F20250812131750&type=m&w=800&h=500&quality=90&ttype=jpg,194406,865,"[기아] 올 뉴K7 하이브리드 노블레스",A/T,2017,"현대 경매장",KNALB41GBHA000565,"A / 7"
"[현대] 더 뉴아반떼AD 1.6 LPI 렌터카 스마트",2138,282주9847,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800656%2FA250800656_02_03.jpg%3F20250808143755&type=m&w=800&h=500&quality=90&ttype=jpg,56294,1160,"[현대] 더 뉴아반떼AD 1.6 LPI 렌터카 스마트",A/T,2020,"현대 경매장",KMHD741LBLU009922,"A / 2"
"[현대] YF쏘나타 LPI 렌터카 디럭스",2139,56우8298,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801074%2FA250801074_02_03.jpg%3F20250809130048&type=m&w=800&h=500&quality=90&ttype=jpg,193997,175,"[현대] YF쏘나타 LPI 렌터카 디럭스",A/T,2011,"현대 경매장",KMHEC41MBBA230466,"A / 1"
"[기아] K3 1.6 GDI 럭셔리",2140,56라9459,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800979%2FA250800979_02_03.jpg%3F20250812131945&type=m&w=800&h=500&quality=90&ttype=jpg,151152,280,"[기아] K3 1.6 GDI 럭셔리",A/T,2014,"현대 경매장",KNAFK412BEA250169,"A / 1"
"[현대] 엑센트 신형 1.6 GDI 모던",2113,26어2047,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801073%2FA250801073_02_03.jpg%3F20250813172334&type=m&w=800&h=500&quality=90&ttype=jpg,145306,240,"[현대] 엑센트 신형 1.6 GDI 모던",A/T,2015,"현대 경매장",KMHCT41EBFU720653,"A / 1"
